CMPCODE|CUSTID|DOCTYPE|DOCSUBTYPE|DOCNUM|SOURCESYS|INVOICEREF|GLACCT|DOCDATE|POSTDATE|K84DATE|CLEARDATE|DOCDESC|XACTREF|CUSTREF|EXTREF5|DOCCURR|HOMECURR|DUALCURR|NORMCURR|ORGVAL_DOC|ORGVAL_HOME|ORGVAL_DUAL|ORGVAL_NORM|OPENVAL_DOC|OPENVAL_HOME|OPENVAL_DUAL|OPENVAL_NORM
C310|166361010|SALE-INV-CDN|INV|22244748|LOCUS|305789219|112111|2016-03-04|2016-03-05||||10827172990842|00003944||CAD|CAD||USD|523.88|523.88||390.75|523.88|523.88||390.75
C310|100013020|SALE-INV-CDN|INV|22239437|LOCUS|446794374|112111|2016-03-04|2016-03-05||||10827689877896|EORLA027R234||CAD|CAD||USD|16.39|16.39||12.22|16.39|16.39||12.22
C310|328578050|SALE-INV-CDN|INV|22238303|LOCUS|815813702|112111|2016-03-04|2016-03-05||||10827689873767|KCBD||CAD|CAD||USD|44.39|44.39||33.11|44.39|44.39||33.11
C310|136188010|SALE-INV-CDN|INV|22247473|LOCUS|515000618|112111|2016-03-04|2016-03-05||||10827690517654|6600564589||CAD|CAD||USD|26.78|26.78||19.97|26.78|26.78||19.97
C310|166239280|SALE-INV-CDN|INV|22239672|LOCUS|451369564|112111|2016-03-04|2016-03-05||||10827690632756|28075104||CAD|CAD||USD|136.36|136.36||101.71|136.36|136.36||101.71
C310|165548010|SALE-INV-CDN|INV|22242527|LOCUS|410730774|112111|2016-03-04|2016-03-05||||10827911673391|114456392635||CAD|CAD|USD|USD|5.66|5.66|4.42|4.42|5.66|5.66|4.42|4.42
C310|158215010|SALE-INV-CDN|INV|22240702|LOCUS|458830736|112111|2016-03-04|2016-03-05||||10827690038244|0001262281||CAD|CAD||USD|144.84|144.84||108.03|144.84|144.84||108.03
C310|165548010|SALE-INV-CDN|INV|22243157|LOCUS|410737336|112111|2016-03-04|2016-03-05||||10827911718372|114456607807||CAD|CAD|USD|USD|6.57|6.57|5.13|5.13|6.57|6.57|5.13|5.13
C310|349675100|SALE-INV-CDN|INV|22243769|LOCUS|426247675|112111|2016-03-04|2016-03-05||||10827911614015|C101854854||CAD|CAD|USD|USD|12.83|12.83|10.02|10.02|12.83|12.83|10.02|10.02
C310|156131010|SALE-INV-CDN|INV|22246102|LOCUS|320848689|112111|2016-03-04|2016-03-05||||58552700302055|W95022792||CAD|CAD||USD|15.76|15.76||11.76|15.76|15.76||11.76
C310|227800010|SALE-INV-CDN|INV|22235664|LOCUS|815819248|112111|2016-03-04|2016-03-05||||10827961199756|10233496||CAD|CAD||USD|23.89|23.89||17.82|23.89|23.89||17.82
